0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,label
0.057059895,0.12676433,-0.058795143,0.021908818,-0.04110936,0.103890784,0.67688894,0.039550357,-0.109166995,-0.14257038,0.06288851,-0.099723265,-0.64605916,-0.08953731,0.07667056,0.06285496,-0.15830223,0.14298873,-0.12052101,-0.057227273,0.12677744,0.081451215,-0.024134511,-0.12375058,-0.03275794,1.1239467,0.058545344,0.13179064,-0.09535786,-0.1126186,-0.050076626,-0.09653104,-0.023685338,-0.044271205,-0.19856624,0.05109039,-0.013457641,-0.009662182,0.27832347,-0.06360257,0.43384576,0.0325101,0.10078485,-0.10885222,0.007957491,0.02010258,0.2854204,0.036304448,0.028066251,0.15894517,0.09406825,0.1886057,-0.10045875,0.040610384,-0.10698126,0.16920207,-0.07194869,0.06240596,-0.120705925,-0.052096095,0.13976339,-0.028935073,-0.14945136,-0.041223112,-0.007835795,0.09715857,0.028557342,0.0073061753,0.08849952,-0.06930162,0.0054521267,0.087536834,0.075137876,-0.13831863,0.22829248,0.054828618,-0.024114,-0.048012365,-0.13703208,-0.074285485,0.26348415,0.21876432,-0.0066455393,-0.060084492,0.058971055,-0.08386156,0.001023154,-0.1388008,0.02372074,-0.13024269,-0.0029234765,0.050233223,0.101475336,0.13901886,-0.10418166,0.04629551,-0.03735016,-0.021644708,0.13225941,-0.008828871,-0.14852855,-0.1291397,-0.13085161,0.08257961,0.13829613,-0.06942014,0.11077797,-0.10104237,-0.021127205,-0.123596475,0.016436836,-0.06813081,-0.20582514,-0.031593896,-0.14951146,0.018583147,0.05718379,-0.005786277,0.13458705,-0.010303119,0.005574759,0.007133394,0.10929007,-0.1533983,-0.028603457,-0.003161473,-0.03328816,0.09723307,0.22397877,-0.13664344,0.00943284,0.118207656,0.028568324,-0.03645186,-0.12655906,-0.29958847,-0.15077206,-0.063273236,0.099557474,0.09214745,0.17491783,-0.03649568,-0.0025079232,0.04542987,0.13255727,0.0731947,-0.14853321,-0.091591924,0.13141653,-0.25066698,0.095215574,0.030725235,-3.89656,0.22759551,-0.14976071,0.06965215,0.05353749,0.044346336,0.054459874,0.19146553,0.07398834,-0.045312528,0.005650391,-0.03939607,0.10745187,-0.10240561,-0.084639646,-0.012338561,0.048526555,-0.18849196,0.016470563,0.036785018,0.047436852,0.07835481,-0.19232585,-0.012795866,-0.007933854,-0.17642233,-0.042316537,0.010579585,-0.05597777,0.13983476,0.048155144,-0.012626527,0.074402325,0.13075864,0.06499919,0.011889069,0.067362234,0.12782754,-0.14076692,0.008810714,0.1628892,-0.050720423,0.02359197,-0.08405772,0.055822752,0.28527924,0.038108796,-0.016988648,depression
0.00078556617,0.07356396,-0.0028508261,0.09505344,-0.041212596,0.11467447,0.76334864,-0.07103757,-0.0010028963,0.045614116,0.031717677,-0.20895793,-0.7593888,-0.14195931,0.013402684,0.10930063,-0.0237334,0.10837508,-0.036370564,-0.0051424145,0.07425593,0.059999783,0.09055175,0.007648793,-0.09378372,1.1078874,-0.041985963,0.17080458,0.004817283,-0.047000885,-0.052103024,-0.0792424,-0.039597724,0.07838248,-0.09822766,0.04677314,-0.003086502,-0.107863106,0.17295614,0.09081428,0.4916532,-0.017535906,0.13454485,-0.11384185,0.02035999,-0.03472123,0.30396757,0.04106611,-0.07378497,0.1661825,0.0480661,0.13952717,-0.034888864,-0.065869875,-0.0010386925,0.07939581,-0.16130291,0.016439397,-0.045832783,-0.0033620945,0.089166336,0.049221203,-0.13338384,-0.0051117977,0.11405356,0.06893385,0.032042824,-0.035229605,-0.024285404,0.03732075,-0.007923844,0.025000582,0.0616241,-0.08400643,0.24626918,0.04543366,-0.13776864,-0.038903043,-0.012435616,-0.07133103,0.24302787,0.005537564,0.049873568,-0.04493959,0.18068063,0.053393558,0.006130192,-0.039592788,0.018221457,-0.024563232,-0.07683563,0.08915195,0.13341871,0.08182867,-0.016815722,-0.06395561,0.08028208,-0.035587683,0.080495045,-0.035334665,-0.11020114,-0.051959086,-0.05506106,0.06851609,0.04817401,-0.052831426,0.14864057,0.0091076335,-0.040204756,-0.09967527,-0.053297687,-0.044225153,-0.044203904,0.0030665966,-0.14376183,0.07263791,-0.009674987,0.077140816,0.09342637,0.005008227,-0.068749666,0.0022585974,0.027495015,-0.17346616,-0.0064881863,0.0591455,-0.010907061,-0.063457884,0.19646734,-0.2676009,-0.052822806,0.06599389,-0.0082007125,0.042186618,-0.12956978,-0.12961605,0.0870665,-0.11515988,0.1271462,0.06441007,0.11201155,0.08857529,-0.009908096,-0.029902663,0.009078878,0.024626087,-0.14474115,-0.14317806,0.10493245,-0.19661716,0.14441532,0.08827033,-4.0647526,0.19894704,-0.071036674,0.011476106,0.016642516,-0.09592324,0.16600709,0.15365142,0.08941151,-0.08309957,-0.1276307,0.0410056,0.023506476,-0.12224687,0.0012642335,0.062388998,0.1247349,-0.082043484,0.052631497,0.041414548,0.021176433,-0.06328289,-0.14166409,-0.00901504,-0.07808358,-0.24361798,0.050567366,-0.14484574,-0.009418404,0.10798101,-0.042817686,-0.08740766,0.050093953,-0.029933078,0.025536517,0.032972336,0.031103794,0.024919046,-0.07596028,-0.023089096,0.10883056,-0.035012227,0.100545235,0.01726494,0.03326785,0.25360063,-0.061880834,-0.14688276,depression
0.16992503,0.17395371,-0.053164046,0.05781412,-0.048244607,0.26611567,0.64701825,-0.15062124,-0.1297163,-0.009684013,0.11978941,-0.09229406,-0.67056745,-0.19138975,-0.14084266,0.0815492,0.028655183,0.14956656,-0.15608217,0.13140382,0.066878386,0.06661158,0.017426418,-0.041319128,-0.15558375,1.0628501,-0.17272107,0.081299536,-0.07611475,-0.059056073,-0.16817032,-0.15037188,-0.2545059,0.04797221,-0.11983375,-0.044254217,-0.06711566,-0.15318924,0.2004143,0.09011986,0.41929787,0.042934407,0.20606913,-0.1974834,-0.051355988,0.03544026,0.23461433,0.06698557,-0.075822376,0.23174845,0.098712064,0.22277752,-0.10170152,-0.008030186,0.08915053,-0.01876872,-0.27610892,-0.015357118,-0.11082192,0.03836171,0.0070807757,0.0550302,-0.19347538,-0.115196526,0.16603412,0.116401605,0.006738719,-0.026219998,0.035727054,0.09232348,0.06969684,0.13375553,0.022735676,-0.00958943,0.31884825,0.15048054,-0.15426716,0.08083004,0.0027282233,-0.015361699,0.11170518,0.13507923,-0.11793863,0.016681243,0.100802116,0.034338467,0.024235088,-0.082722165,0.007959881,-0.092884034,-0.05563819,0.024482444,0.13573599,0.120368496,-0.099717714,-0.15086742,-0.0054427264,-0.011746695,0.027323078,-0.02220788,-0.25492626,-0.039370622,-0.20142959,-0.03667802,0.0045469254,-0.0083036255,0.15044911,0.07279455,0.07433343,-0.021989191,-0.1488819,-0.18902758,-0.07361022,0.11719092,-0.25193873,0.16787818,-0.029036446,0.06443377,0.12707879,-0.11868572,-0.014233405,0.061978523,0.019558085,-0.19730479,-0.21455553,0.18424186,-0.11480112,-0.20310766,0.1533117,-0.17558235,-0.015983151,0.08067352,-0.020971322,0.12206821,-0.12915078,-0.11700824,0.0117874555,-0.11286331,0.20884298,0.040696763,0.03800238,0.16687146,0.037214164,-0.0154575,-0.0241925,0.12978867,-0.1674453,-0.13312988,0.1576054,-0.29654458,0.19664718,0.050852004,-3.9359858,0.025195327,-0.18377386,-0.10550206,0.056835644,-0.011200451,0.23087254,0.1361517,0.18401621,-0.086003,-0.0899194,-0.023904039,0.029347666,-0.052987106,-0.023777133,0.18396221,0.046235044,-0.090153806,0.060100064,0.08614818,0.09293396,-0.011449964,-0.19359584,-0.0107821785,-0.14939836,-0.15895848,-0.042429533,-0.12732217,-0.014540026,0.12874328,-0.06291915,-0.006597305,0.08894848,0.06946624,0.08522083,0.014917603,0.033901207,0.020977287,-0.1314398,7.7103236e-05,0.15920301,-0.17020528,0.114338875,0.09216815,-0.03444363,0.2902445,-0.109976865,-0.037688322,depression
0.0045019016,0.16487981,0.016952572,0.07402456,-0.144825,0.17569764,0.777388,-0.09553693,-0.04959331,0.02938278,0.040087022,-0.15828173,-0.6795268,-0.11970571,-0.10307613,-0.024559852,-0.09226476,0.061019972,-0.07943758,0.06014015,0.11976141,0.041187286,0.014416548,0.03887909,-0.0115940375,1.0469123,0.008710569,0.08862978,-0.052380838,-0.06533927,-0.082961336,-0.089111514,-0.11553861,0.030189998,-0.1634725,-0.050524402,-0.021901099,-0.0290324,0.10535806,0.10758317,0.4609319,0.050204955,0.114509046,-0.13773276,0.020954354,0.04707211,0.28062418,0.073746994,-0.08226807,0.16708021,0.1271748,0.05779256,-0.028669672,-0.17199785,0.041613337,-0.007775242,-0.22918946,-0.008130747,0.025058402,-0.0374999,0.087781794,0.025707263,0.0480362,0.009680181,0.11465733,0.084343985,0.048800915,0.045477588,-0.0403985,0.045977455,-0.10045618,0.085641496,0.016288446,-0.008214866,0.24521835,0.08052675,-0.106074385,-0.06920793,-0.055679865,0.011196228,0.1524766,0.06662651,-0.004054184,0.074005395,0.15225753,-0.046984036,-0.031225942,-0.09432392,0.025837451,0.0026473664,-0.07788483,0.13057275,0.15790284,0.18195197,-0.109541945,-0.029597558,-0.10259115,0.029334249,0.123842195,0.075192764,-0.054459807,-0.012935927,-0.06678638,-0.005476828,0.02510328,-0.098680206,0.11893111,0.09188572,-0.027740521,-0.17671515,-0.017249588,-0.028379032,-0.076943904,-0.058793284,-0.21873543,0.08710993,0.0120223295,0.12967904,-0.050910104,-0.010975923,-0.034036145,0.0130683845,0.028899647,-0.14888251,0.06775513,0.123157635,-0.079885066,-0.09947232,0.2104225,-0.15553999,0.0015229997,0.0681212,0.084277675,0.06487295,-0.16102488,-0.11001988,0.0119890105,-0.06057312,0.12821205,-0.11274648,0.036607668,0.1340335,-0.064728044,-0.038440373,0.02177129,0.13443933,-0.205269,-0.11854434,0.06888633,-0.16247664,0.14116314,0.08990448,-4.0297675,0.07830943,-0.06937281,-0.010307248,-0.032868806,-0.009436704,0.20724842,0.082059585,0.11094029,-0.025433041,-0.09879195,-0.01814278,0.015231389,-0.15436399,-0.027241165,0.05956345,0.061744682,-0.053657107,-0.04500624,0.014711547,-0.017352378,-0.070977405,-0.13894972,-0.12737754,0.02478542,-0.20443545,-0.07301216,-0.021924367,0.051303137,0.090049855,-0.07013807,-0.091509424,0.038904782,0.05144966,0.08061325,0.048604988,0.076142676,-0.006980357,-0.019278128,-0.034989312,0.03347616,-0.13817091,0.055198047,0.00023225314,0.022495333,0.182451,-0.067048766,-0.08433668,depression
0.06962557,0.19387749,-0.20341991,-0.12656151,0.0347622,0.01916242,0.47487903,-0.015666775,-0.10874183,-0.18926196,0.11654144,0.101387285,-0.5992686,-0.26312476,0.08117189,0.10530685,-0.15985693,0.12709151,-0.2581915,-0.09652701,0.23451534,-0.0039148647,0.05328655,0.09169415,-0.16566598,0.897848,-0.14181986,0.13806906,-0.14837717,-0.15430687,0.05687821,-0.07535772,-0.36994335,-0.12799701,-0.22736602,0.065466665,-0.03600034,-0.0015147801,0.15010674,0.1005018,0.4259891,-0.09509698,0.0013712089,-0.12521948,0.08848765,0.09328389,0.18881977,0.089859016,-0.04626307,0.18353334,0.025135322,0.33552843,-0.14498198,-0.016288301,0.0020243884,0.24856144,-0.28573108,-0.02218616,-0.1279703,0.067553654,0.12292566,0.081887566,-0.12111442,-0.06617254,0.09721275,0.3000246,0.15276945,0.17863713,-0.021627413,-0.014556753,0.15385504,0.12684084,0.00562167,-0.017618481,0.3751612,0.22699739,-0.09182986,0.010542345,0.012873963,-0.1011926,0.22650783,0.5304485,0.051274523,0.006200659,0.02904834,-0.022525273,0.050538693,-0.16882333,0.019516034,0.06489911,-0.051641908,-0.06082769,0.25553134,0.25220364,-0.09931668,0.0010071736,0.08232717,0.047221962,0.07247023,0.06702883,-0.010056325,-0.111222684,-0.10126556,-0.08738257,0.19369425,-0.2051667,0.16428453,-0.12072171,0.026825894,-0.16318041,-0.0023457007,-0.14694528,-0.2460628,-0.16460581,-0.085908175,0.22520077,0.009120596,0.065219335,0.04209308,-0.01455662,-0.017312681,0.056743313,0.13649377,0.0017417957,-0.053979963,-0.0045823785,-0.15635885,-0.043547377,0.35043937,-0.2425292,-0.10678373,0.30007923,0.12446319,0.0443912,-0.196283,-0.16187595,-0.19533241,-0.1525945,0.103485204,0.008853756,0.15742217,0.063277625,0.08129127,0.046121012,0.1645095,0.10465433,-0.17554305,-0.1938282,0.10336128,-0.31587663,0.034318794,0.09265322,-3.2098882,0.27049807,-0.39100832,0.13369057,-0.007852483,-0.039251275,0.10683172,0.09901453,-0.031142611,-0.05659524,-0.025365148,-0.07080331,0.08365343,-0.27819732,0.022366615,-0.0326112,-0.11554594,-0.09114271,0.061811242,-0.04780292,0.11456003,-0.12312005,-0.31908286,-0.27506804,-0.10926805,-0.23683093,0.0046815113,-0.23211189,-0.10003496,0.25090733,0.04962169,-0.1131273,0.06813907,0.25520778,0.2528269,0.11007457,-0.13843614,0.100146554,-0.29998544,0.13882083,0.2097509,-0.038027413,0.1342149,0.00999666,-0.027452242,0.5523942,-0.17032373,-0.08807462,depression
0.036155928,0.031928595,0.038907785,-0.006189996,-0.07849975,0.09735964,0.7720676,-0.074546896,-0.039963625,-0.00049118855,0.010452076,-0.13118008,-0.6890248,-0.10215054,-0.06184054,-0.03070627,-0.09567324,0.03152073,-0.11402504,0.009220625,0.0868197,0.03110182,-0.03287909,-0.034754377,0.007950076,1.0594932,0.0024231789,0.1162693,-0.038745787,-0.06161988,-0.12367742,-0.015773833,-0.112355866,0.04020185,-0.19256839,-0.04734775,0.059914775,0.019436615,0.11186779,0.078631036,0.45733517,0.03867057,0.04511485,-0.06334906,0.026441563,-0.032035578,0.27871385,0.024572326,-0.087494425,0.26158246,0.031207273,-0.042778112,-0.08135191,-0.092907965,-0.00965511,0.09600475,-0.22411188,0.017400855,0.0646772,-0.002127203,0.06637392,-0.044220496,-0.045135047,-0.012515642,0.05264606,-0.0044746464,-0.009982902,-0.07564027,0.13313153,-0.09002248,-0.042852394,0.1364939,0.07859828,0.02202648,0.11337261,0.05850982,-0.04297903,-0.07277666,-0.01415651,0.08208071,0.22245555,0.0027407021,-0.10582464,0.02124075,0.1263052,-0.01934323,0.015385975,-0.08031375,0.09522945,-0.008973845,-0.08184636,0.14837928,0.1491737,0.08540513,-0.046071865,-0.044495795,-0.09451759,0.04659427,0.0716594,-0.0206383,-0.07966392,-0.03828976,-0.1121736,0.08805921,-0.03817745,-0.07200265,0.26466283,-0.06340779,0.013871655,-0.08952458,-0.041260887,-0.10945257,-0.1281683,-0.03378654,-0.040608205,0.042749636,0.064901724,0.020456465,0.07429515,0.009993089,-0.07534976,0.028592486,-0.028701616,-0.07177017,0.036803722,0.15730342,-0.043780472,-0.011381179,0.24806361,-0.14740427,0.002867052,0.09212264,0.032271415,0.0140993055,-0.1965843,-0.13644181,-0.050004292,-0.029279439,0.08723022,0.08668591,-0.0105243,0.0395141,0.03229643,-0.03213629,-0.02958012,0.06237311,-0.10311605,-0.086207084,0.12173794,-0.20275423,0.12689196,0.043446835,-4.2325397,0.07620365,-0.008251594,-0.042924136,-0.042830598,0.036677398,0.10593231,0.1523495,0.039086483,-0.035485562,0.0008068656,0.09842973,0.048220426,-0.07579673,0.0018807051,0.027248327,0.088108055,-0.08752592,0.031185368,0.076460734,0.04328428,-0.092466004,-0.14216581,-0.19007052,0.011420272,-0.18799494,-0.026811207,0.031216608,0.04280693,0.10558039,0.0016494348,-0.041766006,0.010980694,0.08261359,0.046446234,0.032984618,-0.015698016,0.039292745,-0.004257646,-0.05854375,0.10699975,-0.16738375,-0.007968128,-0.08775039,-0.019572925,0.14588098,-0.06086616,0.0018842624,depression
0.043953165,0.1356814,-0.02467896,0.0042987713,-0.22356127,0.11860115,0.6979582,-0.04901397,-0.115856245,-0.06402665,0.03240103,-0.15323439,-0.68737984,-0.08339752,0.031440184,0.08392588,-0.04717479,0.03743576,-0.11662729,-0.044834483,0.08607634,-0.01613406,0.07854559,0.037633356,-0.104855046,0.997931,-0.05247186,0.13277893,-0.01258012,-0.074267365,-0.079362646,-0.1005816,-0.2007962,0.0609642,-0.14848065,0.0039180475,-0.025095878,-0.01250145,0.17907253,0.09588383,0.43777964,0.027532374,0.092873655,-0.15306333,0.049436904,-0.027552519,0.2698265,0.049135275,-0.031560205,0.113334335,0.059402272,0.093344696,-0.025510753,-0.1586707,0.036199246,-0.0058138724,-0.21457906,-0.036462698,-0.039978944,-0.022617055,0.055844754,-0.0051719444,-0.063642904,-0.052480206,0.10729579,0.08092698,-0.1126432,0.0026651267,0.024815835,0.042246275,-0.10107108,0.124153875,0.09676578,0.020433232,0.19175397,0.012777451,-0.017926166,-0.034130745,-0.02137323,-0.012478399,0.21658318,0.17932574,0.06358902,-0.04009498,0.19294918,0.0031650872,0.040030703,-0.13511945,-0.037659395,-0.04145243,-0.045003537,0.029415742,0.15548806,0.12672882,-0.050328907,-0.039333966,-0.03938912,0.107446216,0.07902869,0.038107082,-0.09618132,-0.08257897,-0.12149743,0.12535182,0.028182657,-0.055197667,0.08977498,0.025938977,0.07226277,-0.09528853,-0.04791855,-0.10751749,-0.06995882,-0.08824492,-0.14496712,0.089896604,0.032817174,0.08139987,0.061919287,-0.005757605,-0.06875136,0.037721593,0.05573922,-0.115903854,-0.061038055,0.088337466,-0.06489569,-0.10123188,0.08991621,-0.1383958,-0.019702049,0.06426078,0.12384867,0.11946841,-0.14245224,-0.21611524,-0.057644032,-0.070461996,0.11311549,-0.005898877,0.027482446,0.03260343,0.022076685,-0.08083279,-0.07222277,0.048093658,-0.192899,-0.10189861,0.05353521,-0.22137961,0.17575951,0.06389975,-4.2502437,0.16237831,-0.06709549,-0.0057606394,0.005237783,-0.0511905,0.16581056,0.14641097,0.08349715,-0.032431986,-0.06681076,0.017337093,0.04711268,-0.042191476,-0.017224768,0.022719773,0.07837119,-0.023817841,0.018994559,-0.0068465318,0.091454394,-0.03600021,-0.12664776,-0.078340925,-0.042020794,-0.20862794,-0.092941776,-0.119885385,0.022302452,0.093207754,-0.03720436,-0.06460044,-0.013836051,0.05615055,0.12255558,0.045015957,0.017939216,0.037113246,-0.07378677,-0.048904344,0.22114769,-0.0898861,0.041559517,-0.0339136,-0.025578173,0.24383517,-0.062905684,-0.039088827,depression
0.04362684,0.16592035,-0.012435312,0.04245685,-0.085295826,0.13857286,0.73985183,-0.033826083,-0.06707493,0.023709217,0.1108812,-0.032113828,-0.73394996,-0.14598165,-0.08194852,-0.01680759,-0.07979627,0.09715297,-0.070027485,0.042471208,0.084180646,0.047181122,0.038933445,0.018274419,0.025521563,1.1591865,0.008643326,0.11721727,0.028875785,-0.10847184,-0.1419735,-0.040013194,-0.04307875,0.11566648,-0.20698045,0.0028655045,-0.037907165,-0.12867735,0.15480094,0.07965338,0.44169158,0.073977076,0.10670542,-0.07056408,0.011702588,0.017733464,0.35184488,0.0049773725,-0.010540739,0.27542865,-0.00858749,0.055760495,-0.07618519,-0.1173893,-0.0035133047,0.018258646,-0.1402367,0.04047809,0.038609505,0.06568717,0.0684291,0.06479393,-0.122666016,-0.01281228,0.030736953,-0.051837165,-0.053077266,-0.03605655,0.07166399,-0.0073371464,0.021765105,0.09803694,0.11880808,-0.0062679877,0.1863356,0.02189162,-0.052833296,-0.056003585,-0.019360488,0.011450411,0.32711598,0.0813742,-0.048257403,0.04077264,0.1398599,0.035110142,0.008296563,-0.08847478,0.048346233,-0.07462461,-0.023846487,0.11079715,0.07224423,0.102362126,-0.10596278,-0.0635194,-0.054597184,0.01870352,0.049991284,0.021518754,-0.18167908,-0.020078195,-0.0870755,0.120579265,0.0417742,-0.015321894,0.21224797,0.031637084,-0.007427721,-0.034479085,-0.10600278,-0.091592126,-0.062429175,0.0333174,-0.15066838,-0.011245401,0.004767008,0.013897211,0.050110668,-0.06263554,0.005933505,-0.06473398,0.014774076,-0.11676684,-0.04198773,0.19117346,-0.100178234,-0.09211871,0.21108168,-0.13534725,-0.021327808,0.08120137,-0.031213036,0.034390215,-0.15853108,-0.1755253,0.0016190741,-0.046746615,0.16301624,0.04291521,0.055258267,0.056821432,-0.06408307,0.007791078,-0.08362868,0.023800945,-0.13442911,-0.05319903,0.09378517,-0.20237064,0.17635733,0.08886356,-4.549809,0.08927979,-0.012862169,0.008644726,-0.024395784,0.11187992,0.08171941,0.10276901,0.1287199,-0.1295392,-0.09738575,0.06581256,0.009810779,-0.032473125,0.10058428,0.029405074,0.09925119,-0.13347906,-0.07088897,0.074132785,0.017839981,-0.07294885,-0.0687803,-0.101715334,-0.06541287,-0.20090383,0.012974511,0.012172756,-0.064406656,0.14038005,-0.04422337,-0.03704291,0.021154221,0.026887072,0.190654,0.019029597,0.05830567,0.05979231,-0.07948961,-0.020536013,0.097834624,-0.047337122,0.07088326,-0.06277693,0.043215573,0.19043617,0.006513366,-0.0050376323,depression
0.08049232,0.103473045,-0.049572088,-0.029827533,-0.010828302,0.14207722,0.7393648,-0.023340667,-0.124267235,0.007650925,0.04873117,-0.13203941,-0.72767615,-0.07188293,-0.030614657,0.03509891,-0.09958415,0.12688842,-0.08753183,-0.04140602,0.08428928,0.0010804298,-0.015103281,0.073067255,-0.048952967,1.1048574,0.011702408,0.1332882,0.022270035,0.0100813275,-0.15807933,-0.07352977,-0.06818721,0.09432208,-0.08979845,0.009816704,0.085952185,0.0034481816,0.11684535,0.09095026,0.46421668,0.030295439,0.13193178,-0.09202283,0.008823194,-0.0017175435,0.20368873,0.07479675,-0.04590318,0.28375405,0.02682713,0.06969771,0.019488811,-0.17927459,-0.027824631,0.046430588,-0.19602014,0.038846992,0.0038803718,0.016262969,0.16285457,0.051590394,-0.09301036,-0.028658789,0.07806602,0.0066483202,0.014443207,-0.06322203,0.056197982,0.00022225057,-0.0558819,0.018677464,0.07507687,-0.02371771,0.22264564,0.031592496,-0.07783728,-0.13494094,-0.014247443,-0.031709354,0.15876879,0.099870674,0.00482766,0.046214826,0.14733934,0.0334038,0.037120603,-0.022341743,0.02043589,-0.05182925,0.020264467,0.012494934,0.21114999,0.08889127,-0.04369691,-0.13509741,-0.04453414,0.03826082,0.01716841,-0.0059713707,-0.10682122,-0.11326761,-0.12159163,0.0978619,0.016162358,-0.14924031,0.17979656,0.12611489,0.06010469,-0.14226803,-0.007984385,-0.051797565,-0.105958626,-0.05798865,-0.13965721,-0.07721596,0.034381058,0.050974943,0.016529914,0.023776965,-0.0043486347,0.06394028,-0.07414457,-0.108764514,-0.019525314,0.08687987,-0.03522434,-0.027984342,0.083666615,-0.12680854,-0.053108886,0.030510051,0.01539656,0.056178328,-0.10660235,-0.1565857,-0.008585559,-0.039594818,0.12525661,0.04562231,-0.027251918,-0.030746533,-0.061005346,-0.090956554,-0.11894796,-0.0003572598,-0.093690045,-0.03351689,0.08641792,-0.16777357,0.1250585,0.0098091895,-4.2843847,0.13370739,-0.05987407,-0.012879358,-0.034227032,0.080311105,0.17816812,0.12533282,0.12955299,-0.06582059,-0.17910357,-0.012507379,-0.044458695,-0.02797104,0.061068643,0.06155084,0.081521034,-0.07172419,-0.019344924,0.06280637,-0.0037700923,-0.0609278,-0.15115374,-0.1450546,0.03021101,-0.22016466,0.050831266,0.03073544,0.007769696,0.07717446,-0.037398696,-0.08343677,0.060517035,0.019298859,0.14170866,0.045541193,0.020672778,0.03752758,-0.0611211,-0.04547607,0.011633051,-0.045710966,0.06648665,0.032008234,0.042195838,0.15369728,0.022481004,-0.018141247,depression
-0.0011545494,0.091024905,-0.066197075,0.0624669,-0.14935854,0.17324823,0.7303228,-0.06503166,0.02158679,0.015305286,-0.004592722,-0.2316644,-0.69825,-0.0993583,-0.018437965,0.13690723,-0.054418955,0.09721615,-0.13701126,-0.046709232,0.075330295,0.028665483,-0.047975224,0.022378106,-0.077049434,1.0967565,0.038347807,0.18042463,-0.109302975,-0.043102115,-0.08174542,-0.016715964,-0.123116404,-0.0066759274,-0.18720274,-0.022496905,0.064384595,0.0041766837,0.10152951,0.0480638,0.53095114,-0.06626801,0.12894781,-0.06152991,0.022877757,-0.018617524,0.3577416,0.063370466,-0.09423865,0.16155943,0.045611687,0.12304462,-0.105782785,-0.12995735,-0.06201211,0.09462084,-0.17815404,-0.018801542,-0.00539461,-0.10109745,0.033442948,0.05063834,-0.07865154,-0.0017328184,0.13013083,0.09952224,-0.044714898,-0.034485526,0.045193892,0.1463195,-0.11352058,0.04461931,0.11124557,0.0073734657,0.14742209,0.13315296,-0.16189115,0.0028229335,0.0042501204,0.008104388,0.14156015,0.108418904,-0.036590707,-0.07811001,0.112595625,0.04913435,0.015271984,-0.07116357,0.015876679,-0.020405833,0.04134324,0.16711944,0.1736983,0.10340855,-0.040960725,-0.011329358,-0.076409906,-0.00023888619,0.094355084,0.047901098,-0.045788363,0.036543317,-0.13610668,0.09095649,-0.002692806,-0.10368212,0.119980656,0.044930775,0.053611476,-0.15212043,-0.10873658,-0.16986254,-0.09880306,-0.024639037,-0.106306404,0.11828745,0.054933377,0.05748634,0.14144123,-0.06634096,-0.04460955,0.06826061,-0.02654824,-0.15789373,0.0016162992,-0.074998945,-0.01620902,0.0035265666,0.15528391,-0.18578412,-0.072139084,0.07093626,0.08219512,-0.020348137,-0.24398631,-0.16430672,-0.00521644,-0.020499725,0.11264818,0.028277699,-0.0074723824,0.0257471,0.014839111,-0.05020887,0.08012209,0.07119466,-0.15561515,-0.12160243,0.14848903,-0.19480804,0.06419743,0.12509102,-3.9567885,0.21944076,0.03269282,0.030623367,-0.008229654,-0.023296496,0.21213488,0.18206996,0.0035287766,-0.015034481,-0.023760995,-0.021787396,-0.006585843,-0.07781546,-0.117300145,0.048045952,0.0662051,-0.13369419,0.047789443,0.14467889,0.07979074,-0.052119676,-0.1597899,-0.12183896,-0.07972802,-0.1182311,0.024771338,-0.07883684,-0.054143745,0.028007004,-0.0017737342,-0.13407712,0.03700269,0.08739255,0.20074442,0.06805488,0.0476109,0.1510412,-0.14481737,0.022930128,0.06459019,-0.1711043,0.059765276,-0.041775484,0.058572333,0.13923801,-0.027120855,0.015666643,depression
